"","GP","Age","SHTOIP60","SHBlkP60","SHTakeP60","SHPP60","SHGAP60"
"265",58,25,67,7.41,0.93,0,4.63
"267",81,22,123,6.5,0.36,0.36,6.5
"268",59,26,93,5.9,1.31,1.31,6.56
"270",58,25,94,5.28,4.62,0.66,7.26
"271",81,26,162,9.05,0.82,0.55,5.76
"276",65,25,67,4.96,4.96,0.83,4.96
"278",82,26,80,2.74,2.2,0,8.23
"279",65,26,71,10.92,2.34,0,5.46
"280",81,23,128,4.17,3.47,0,5.56
"282",67,33,161,8.34,0.33,0.33,7.68
"283",44,28,97,4.22,5.9,0.84,7.59
"285",79,32,165,9.67,2.76,0.28,3.31
"289",47,27,77,1.99,0.99,0,3.98
"290",30,23,159,12.08,0.75,0,3.77
"291",69,31,126,9.11,1.24,0,5.8
"294",67,29,100,2.15,2.15,0.54,4.84
"295",81,29,129,2.41,1.38,1.03,6.55
"296",71,30,120,5.92,2.96,0.42,7.18
"298",72,30,90,6.67,2.22,1.67,5
"299",64,35,135,4.58,0,0,5
"301",41,26,143,4.3,0,0,6.75
"304",81,30,123,3.97,3.61,0,4.34
"305",74,25,142,5.82,1.37,0,8.22
"308",78,30,110,3.78,2.1,0.84,6.29
"309",81,33,119,6.35,1.49,0.37,4.86
"310",61,25,116,3.56,3.05,0,6.61
"311",75,23,86,2.79,1.67,1.67,7.81
"313",82,23,201,7.86,0.66,0.22,5.46
"317",76,21,85,6.13,2.23,2.23,8.92
"321",79,36,146,1.87,1.56,0.62,5.93
"323",71,29,139,3.28,1.82,1.09,8.03
"324",82,31,148,2.37,2.37,0.89,5.93
"325",75,29,92,5.22,2.09,0.52,7.3
"326",81,35,92,7.73,1.93,0.48,3.86
"329",80,22,130,9.69,0.69,0.35,3.81
"330",57,28,122,4.14,1.55,1.04,8.28
"331",66,32,149,9.15,0.73,0.37,4.76
"332",74,23,126,4.63,3.47,0,6.56
"335",67,22,108,7.96,0.5,0.5,6.47
"336",64,35,158,4.63,3.92,0.36,6.41
"339",57,27,69,6.41,1.83,0,5.49
"340",56,26,69,8.39,0,0,7.45
"341",71,25,129,9.04,1.18,0,2.75
"342",77,28,120,4.68,3.12,2.34,5.45
"343",66,24,127,13.74,0.43,0.43,4.72
"345",65,24,141,8.25,2.36,0,7.07
"346",82,37,140,4.39,1.88,0,6.59
"347",82,37,77,0.57,3.42,0.57,9.69
"350",78,35,133,7.63,0,0,6.94
"351",78,29,135,11.62,1.03,0.34,5.81
"352",81,24,155,4.87,4.01,0.57,7.46
"356",71,28,64,5.55,5.55,0.79,9.51
"358",77,23,85,10.45,0.55,0,4.95
"360",77,33,115,2.85,2.03,0.41,7.72
"362",73,27,158,8.74,1.25,0.31,8.12
"366",81,25,104,9.4,0.85,0.43,8.12
"367",64,30,147,11.48,0,0,6.89
"369",47,24,76,8.06,0,0,7.05
"370",69,31,131,5.58,0.4,0,8.36
"372",70,33,187,9.35,2.2,0,6.05
"375",71,28,152,12.68,0.67,0,8.01
"376",71,31,121,8.38,3.35,0,7.54
"377",71,31,96,3.17,1.06,1.58,6.87
"378",46,39,194,9.28,0,0,7.66
"380",80,36,129,4.19,2.44,0,7.67
"381",73,25,121,5.71,1.63,0,4.48
"384",78,23,128,8.65,0.36,0,6.49
"386",82,23,129,9.53,0,0,5.1
"387",82,27,151,7.56,0.58,0.29,5.23
"388",73,26,128,6.55,3.08,0.39,7.71
"390",60,32,82,3.66,5.12,0.73,5.85
"395",38,24,65,7.29,1.46,0,8.74
"400",81,32,119,5.6,1.12,0.75,4.11
"401",67,23,72,2.24,1.49,1.49,6.72
"402",82,29,172,6.89,0.51,0,6.13
"404",71,24,100,3.04,3.04,0.51,3.55
"406",69,21,123,6.36,0.85,0.42,7.64
"408",46,33,83,3.77,0.94,0.94,6.6
"409",71,25,125,3.65,2.03,0.41,6.9
"410",82,35,168,10.19,0.52,0.52,6.79
"413",41,36,134,7.21,0,0,4.59
"414",80,29,85,4.24,4.24,0,5.82
"417",82,27,71,0.62,3.09,0.62,6.8
"418",82,23,126,6.27,2.44,3.14,9.06
"419",63,25,70,7.35,0.82,0,5.71
"420",62,25,84,6.22,2.07,2.07,6.22
"424",56,23,90,5,2.86,0.71,4.29
"429",38,26,80,13.03,1.18,0,9.47
"431",79,24,71,6.42,2.57,0,7.06
"436",69,21,67,11.68,1.56,0,6.23
"437",66,24,107,5.61,0.51,0.51,6.63
"438",51,28,141,6.51,2,1.5,6.01
"439",71,31,110,5.53,0.46,0.92,7.38
"440",73,26,191,6.71,1.55,0.26,6.2
"442",82,33,97,4.98,0.91,0,7.24
"444",79,30,173,9.48,2.11,0,5
"446",61,32,72,0.82,4.1,0,5.74
"447",41,30,111,4.75,1.58,0,3.96
"450",54,30,76,11.4,1.75,0.88,7.89
"451",64,26,76,7.4,0.74,0,5.92
"456",47,31,137,8.95,3.35,0,7.27
"461",79,30,100,5.92,3.65,0,5.47
"467",39,31,136,4.07,3.39,0,6.79
"468",82,31,100,3.07,0.88,0,8.78
"469",82,23,117,2.25,2.63,0.38,6.75
"470",82,22,142,5.26,1.55,0.31,6.8
"472",82,21,158,6.67,1.11,0,6.39
"474",80,26,80,7.31,2.81,0.56,5.62
"476",62,29,116,12.51,1,0,6.01
"482",61,23,79,3.74,2.24,0.75,5.98
"484",65,25,175,7.91,0.32,0.32,5.38
"485",41,26,107,3.28,0,0.82,5.74
"486",73,26,109,8.14,0.9,0.45,9.5
"487",71,27,100,7.61,2.54,0.51,6.59
"490",72,26,128,13.28,0,0,7.42
"491",67,29,95,10.75,2.26,0,6.22
"492",72,25,81,9.26,3.7,0,6.79
"494",81,34,177,10.3,0.25,0,6.28
"496",63,37,108,4.23,0.53,0.53,6.35
"497",81,31,107,5.4,1.25,0,6.65
"501",61,35,141,12.14,1.26,0,4.19
"503",81,30,97,8.25,2.29,0.46,10.08
"506",72,27,115,6.09,2.61,0.43,4.35
"509",81,24,122,6.56,1.09,0.36,7.29
"511",68,24,60,1.76,1.76,0,6.18
"512",82,26,144,3.66,2.44,0.3,4.88
"514",34,22,65,3.26,3.26,0,6.52
"517",63,22,126,9.98,3.17,0.45,3.63
"518",63,27,70,6.53,0,0,4.9
"520",82,25,137,3.85,4.17,0.32,6.09
"521",81,28,79,1.13,3.38,3.38,7.31
"523",82,31,119,3.69,1.84,0.74,5.16
"524",58,28,131,7.11,1.42,0,6.63
"527",77,26,106,11.91,0.88,1.32,6.17
"529",82,28,106,1.24,3.73,0.83,4.14
"530",77,29,137,8.87,1.02,0,5.8
"531",78,30,62,2.23,2.98,2.23,9.68
"532",80,32,94,1.91,1.44,1.44,9.1
"533",75,30,77,4.99,5.61,0,4.99
"535",64,30,84,2.01,0.67,0,5.36
"536",67,32,107,3.01,1,0.5,5.02
"537",82,33,96,1.83,0.91,0.46,5.03
"538",72,26,103,4.37,5.34,1.46,7.28
"540",80,34,107,4.21,1.68,0,10.09
"541",75,24,73,5.26,7.23,1.97,9.21
"542",75,26,126,12.57,0,0,8.76
"543",50,31,108,6.67,0,0.67,6.67
"544",52,28,94,5.89,0.74,0.74,7.36
"545",73,30,125,3.95,0.79,0,6.31
"546",62,38,87,4,0,0,8.01
"548",64,32,174,12.28,0,0.32,9.38
"549",68,27,141,3.38,0.75,0,5.63
"550",77,25,109,3.86,0.86,0,3.43
"551",82,31,117,4.88,1.88,0.75,6.75
"552",38,32,107,7.97,0.89,0,6.2
"553",69,26,166,10.69,0.94,0.31,7.23
"560",49,32,95,6.19,2.32,0.77,6.19
"564",79,22,91,4.01,2.5,0.5,5.01
"567",80,28,85,4.24,5.82,3.71,4.76
"568",82,24,77,1.14,3.42,0.57,7.98
"571",38,26,106,7.15,0,0,3.57
"572",81,22,163,9.82,1.64,0.55,7.91
"574",61,33,127,6.97,0.93,0,6.97
"576",70,33,75,2.74,2.06,2.06,2.74
"578",82,25,103,5.97,0.43,0.43,6.82
"579",79,29,137,6.32,2.33,0.33,5.65
"581",71,25,134,8.32,1.89,0,4.92
"583",76,34,63,3.76,2.26,0.75,8.27
"587",67,29,135,10.75,0.8,0.8,8.36
"591",79,35,80,8.54,4.56,1.14,9.68
"593",45,28,90,7.11,0,0,2.67
"594",78,31,171,7.83,1.89,0.27,5.94
"598",82,30,77,2.85,2.28,2.28,9.12
"601",51,33,93,5.31,1.52,0,7.59
"605",82,22,95,8.32,0.92,0.46,4.62
"606",68,28,68,7.01,2.34,1.56,7.01
"607",76,31,104,6.38,2.28,0,6.83
"610",74,31,163,3.88,2.69,0.9,5.07
"612",81,23,85,2.61,2.61,1.05,8.89
